timestamp,open,close,low,high,volume
2025-10-07T08:00:00+00:00,179.3900,179.0000,179.0000,179.5000,2330
2025-10-07T08:01:00+00:00,179.1600,179.1600,179.1600,179.1600,1704
2025-10-07T08:02:00+00:00,179.0000,179.0500,179.0000,179.0900,3697
2025-10-07T08:03:00+00:00,179.1900,179.0500,179.0500,179.1900,2482
2025-10-07T08:04:00+00:00,179.0200,178.9000,178.9000,179.0200,2256
2025-10-07T08:05:00+00:00,178.9000,178.9600,178.8700,178.9600,4198
2025-10-07T08:07:00+00:00,178.7400,178.6800,178.6800,178.7400,1917
2025-10-07T08:08:00+00:00,178.6800,178.7600,178.6800,178.7900,2329
2025-10-07T08:10:00+00:00,178.7000,178.7500,178.7000,178.8000,1717
2025-10-07T08:11:00+00:00,178.7000,178.6300,178.6300,178.7000,2212
2025-10-07T08:12:00+00:00,178.7100,178.6800,178.6800,178.8200,6931
2025-10-07T08:15:00+00:00,178.6600,178.6600,178.6600,178.6600,955
2025-10-07T08:17:00+00:00,178.5000,178.5000,178.5000,178.5000,1471
2025-10-07T08:18:00+00:00,178.4600,178.5200,178.4400,178.5200,1487
2025-10-07T08:20:00+00:00,178.4500,178.4800,178.4500,178.5100,1237
2025-10-07T08:21:00+00:00,178.4800,178.4500,178.4500,178.4800,3479
2025-10-07T08:22:00+00:00,178.5400,178.4700,178.4700,178.5400,1369
2025-10-07T08:23:00+00:00,178.6000,178.6000,178.6000,178.6000,729
2025-10-07T08:24:00+00:00,178.6500,178.3100,178.3000,178.6600,3703
2025-10-07T08:25:00+00:00,178.2100,178.3200,178.2100,178.3200,3610
2025-10-07T08:26:00+00:00,178.2500,178.3200,178.2500,178.3200,2097
2025-10-07T08:27:00+00:00,178.3000,178.3000,178.3000,178.3000,401
2025-10-07T08:28:00+00:00,178.2400,178.2400,178.2400,178.2400,776
2025-10-07T08:29:00+00:00,178.3800,178.5400,178.3800,178.5400,2676
2025-10-07T08:30:00+00:00,178.4400,178.4400,178.4400,178.4400,609
2025-10-07T08:32:00+00:00,178.5100,178.3000,178.3000,178.5100,2279
2025-10-07T08:33:00+00:00,178.2100,178.1000,178.1000,178.2100,2338
2025-10-07T08:34:00+00:00,178.2000,178.1700,178.1000,178.2000,3638
2025-10-07T08:35:00+00:00,178.1100,178.2000,178.1100,178.2000,1735
2025-10-07T08:36:00+00:00,178.1700,178.2400,178.1700,178.2500,4979
2025-10-07T08:38:00+00:00,178.4500,178.3900,178.3800,178.4500,1478
2025-10-07T08:39:00+00:00,178.3900,178.3900,178.3900,178.3900,226
2025-10-07T08:40:00+00:00,178.3600,178.3300,178.3300,178.3600,2011
2025-10-07T08:43:00+00:00,178.3300,178.3300,178.3300,178.3300,281
2025-10-07T08:45:00+00:00,178.4200,178.4200,178.4200,178.4200,1281
2025-10-07T08:46:00+00:00,178.3700,178.4000,178.3700,178.4000,1680
2025-10-07T08:48:00+00:00,178.5500,178.5500,178.5500,178.5500,1252
2025-10-07T08:49:00+00:00,178.7100,178.7100,178.7100,178.7100,1377
2025-10-07T08:50:00+00:00,178.7900,178.6500,178.6500,178.7900,2311
2025-10-07T08:51:00+00:00,178.6700,178.6500,178.6500,178.6700,1008
2025-10-07T08:54:00+00:00,178.5900,178.5300,178.5300,178.6700,6390
2025-10-07T08:56:00+00:00,178.6900,178.6900,178.6900,178.6900,138
2025-10-07T08:57:00+00:00,178.7400,178.7400,178.7400,178.7400,565
2025-10-07T08:59:00+00:00,178.7100,178.6000,178.6000,178.7100,994
