timestamp,open,close,low,high,volume
2025-09-12T08:00:00+00:00,165.0800,165.2000,165.0800,165.3900,11148
2025-09-12T08:01:00+00:00,165.1600,165.1100,165.0000,165.1600,7926
2025-09-12T08:02:00+00:00,165.0300,165.0400,165.0000,165.0500,4761
2025-09-12T08:03:00+00:00,165.0100,165.0900,165.0100,165.0900,2007
2025-09-12T08:04:00+00:00,165.0000,165.1000,165.0000,165.1000,3840
2025-09-12T08:05:00+00:00,165.1000,165.1200,165.1000,165.1500,3019
2025-09-12T08:06:00+00:00,165.1100,165.0700,165.0500,165.1100,1038
2025-09-12T08:08:00+00:00,165.0600,165.0500,165.0500,165.0600,914
2025-09-12T08:09:00+00:00,165.0400,165.0100,165.0100,165.0400,1987
2025-09-12T08:10:00+00:00,165.0000,165.0700,165.0000,165.0700,825
2025-09-12T08:11:00+00:00,165.0100,165.0500,165.0100,165.0500,5041
2025-09-12T08:12:00+00:00,165.0600,165.1600,165.0600,165.1600,2089
2025-09-12T08:13:00+00:00,165.0900,165.0900,165.0900,165.0900,1421
2025-09-12T08:14:00+00:00,165.0400,164.9900,164.9900,165.0400,4793
2025-09-12T08:15:00+00:00,165.0000,165.0000,165.0000,165.0000,744
2025-09-12T08:16:00+00:00,165.0000,165.0000,165.0000,165.0000,786
2025-09-12T08:17:00+00:00,164.9500,164.8000,164.8000,164.9500,4022
2025-09-12T08:18:00+00:00,164.8300,164.8000,164.8000,164.8300,1821
2025-09-12T08:19:00+00:00,164.8000,164.9700,164.8000,164.9700,2047
2025-09-12T08:20:00+00:00,164.9300,164.9300,164.9300,164.9300,765
2025-09-12T08:21:00+00:00,164.8900,164.8900,164.8900,164.8900,1105
2025-09-12T08:22:00+00:00,164.7800,164.7800,164.7800,164.7800,736
2025-09-12T08:23:00+00:00,164.7900,164.7900,164.7900,164.7900,435
2025-09-12T08:24:00+00:00,164.8400,164.8400,164.8400,164.8400,562
2025-09-12T08:25:00+00:00,164.8900,164.8900,164.8900,164.8900,1005
2025-09-12T08:26:00+00:00,164.9500,164.9500,164.9500,164.9500,495
2025-09-12T08:27:00+00:00,164.9700,164.9900,164.9700,164.9900,337
2025-09-12T08:28:00+00:00,165.0000,165.0100,165.0000,165.0100,1972
2025-09-12T08:29:00+00:00,165.0900,165.1300,165.0900,165.1300,1383
2025-09-12T08:31:00+00:00,165.0500,165.0300,165.0300,165.0500,990
