date,ticker,volume,low,close,open,high,log_return,pct_change,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,atr_14,rolling_volatility_30,bollinger_mid,bollinger_upper,bollinger_lower,rsi_14,close_open_pct,high_low_pct,gap_pct,volume_sma_20,volume_roc,volume_z,rolling_high_50,rolling_low_50
2020-12-09 00:00:00+00:00,PLTR,79634700,25.330000,26.630000,28.680000,28.850000,-0.071019,-0.068555,22.202500,15.107800,24.835506,21.136268,3.699237,3.546012,3.919286,1.434018,22.202500,32.153574,12.251426,64.198649,-0.071478,0.132182,-0.063663,103349375.000000,-0.361668,-0.533127,33.500000,8.900000
2020-12-10 00:00:00+00:00,PLTR,57774800,25.150000,27.040000,25.540000,28.040000,0.015279,0.015396,22.756500,15.458600,25.174659,21.573582,3.601077,3.557025,4.048571,1.429391,22.756500,32.475257,13.037743,64.915872,0.058731,0.106879,-0.109484,103886720.000000,-0.274502,-1.052156,33.500000,8.900000
2020-12-11 00:00:00+00:00,PLTR,52764400,26.060000,27.200000,27.150000,28.270000,0.005900,0.005917,23.387500,15.813400,25.486250,21.990353,3.495896,3.544799,4.087857,1.426027,23.387500,32.490235,14.284765,65.208790,0.001842,0.081250,0.063038,101629740.000000,-0.086723,-1.078982,33.500000,8.900000
2020-12-14 00:00:00+00:00,PLTR,44734500,26.730000,27.240000,28.260000,28.260000,0.001470,0.001471,23.959500,16.174200,25.756057,22.379216,3.376841,3.511208,3.961429,1.402692,23.959500,32.473413,15.445587,65.286818,-0.036093,0.056167,0.040884,100048725.000000,-0.152184,-1.183303,33.500000,8.900000
2020-12-15 00:00:00+00:00,PLTR,49273200,25.520000,26.430000,26.820000,27.100000,-0.030187,-0.029736,24.484500,16.522200,25.859741,22.679274,3.180467,3.445059,3.824286,1.415922,24.484500,32.168111,16.800889,62.242560,-0.014541,0.059781,-0.050955,99246085.000000,0.101459,-1.051953,33.500000,8.900000
2020-12-16 00:00:00+00:00,PLTR,44013400,25.110000,25.920000,25.710000,26.160000,-0.019485,-0.019296,24.888000,16.842600,25.869011,22.919328,2.949684,3.345984,3.485714,1.420295,24.888000,31.925011,17.850989,60.334928,0.008168,0.040509,-0.041387,95615830.000000,-0.106748,-1.056081,33.500000,9.180000
2020-12-17 00:00:00+00:00,PLTR,53829800,26.050000,27.230000,26.520000,27.450000,0.049304,0.050540,25.354500,17.187200,26.078394,23.238637,2.839757,3.244739,3.067857,1.420478,25.354500,31.637612,19.071388,63.434913,0.026772,0.051414,0.031505,93809425.000000,0.223032,-0.803735,33.500000,9.180000
2020-12-18 00:00:00+00:00,PLTR,71042900,25.800000,25.970000,26.270000,26.850000,-0.047377,-0.046272,25.704000,17.506600,26.061718,23.440960,2.620758,3.119943,2.738571,1.422070,25.704000,31.225626,20.182374,58.684224,-0.011420,0.040431,-0.009427,94550300.000000,0.319769,-0.477201,33.500000,9.180000
2020-12-21 00:00:00+00:00,PLTR,76729100,25.400000,28.510000,26.190000,28.700000,0.093313,0.097805,26.222000,17.877800,26.438377,23.816445,2.621932,3.020341,2.710714,1.380105,26.222000,30.581235,21.862765,64.462096,0.088583,0.115749,-0.003045,94781555.000000,0.080039,-0.367212,33.500000,9.180000
2020-12-22 00:00:00+00:00,PLTR,66033100,26.820000,28.040000,29.030000,29.420000,-0.016623,-0.016485,26.572000,18.240800,26.684781,24.129300,2.555480,2.927369,2.573571,1.382270,26.572000,30.250270,22.893730,62.714391,-0.034103,0.092725,0.108438,93847395.000000,-0.139400,-0.561471,33.500000,9.180000
2020-12-23 00:00:00+00:00,PLTR,58772200,28.050000,28.690000,28.950000,29.390000,0.022917,0.023181,26.815500,18.625200,26.993276,24.467130,2.526146,2.847124,2.447857,1.365860,26.815500,30.369371,23.261629,64.161540,-0.008981,0.046706,-0.002756,91012565.000000,-0.109958,-0.646656,33.500000,9.180000
